"gene_id","moduleColor","GS.10","GS.25","GS.5","p.GS.10","p.GS.25","p.GS.5","MM.black","p.MM.black","MM.green","p.MM.green","MM.salmon","p.MM.salmon","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.lightgreen","p.MM.lightgreen","MM.lightcyan","p.MM.lightcyan","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.purple","p.MM.purple","MM.blue","p.MM.blue","MM.greenyellow","p.MM.greenyellow","MM.tan","p.MM.tan","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.cyan","p.MM.cyan","MM.grey60","p.MM.grey60","MM.grey","p.MM.grey","moduleCluster"
"ACROYT_G002532","MEblack",-0.378075685017905,-0.010028737392689,0.387637710939202,0.134574769824331,0.969527757977899,0.124202211294296,-0.493891111072475,0.0439071594933854,-0.298958008713065,0.243757190801571,-0.436390469806885,0.0798995690743693,-0.475661539428494,0.0536243733504663,-0.277196984418987,0.281416053249624,-0.371138172932292,0.142465594140724,0.000624263160660016,0.998102769388675,0.0462220245399683,0.860172104706614,-0.223186774948899,0.389201084279877,-0.0107815008428081,0.967241603723044,0.0267048840876193,0.918964988686121,0.397158613213775,0.114442375178008,0.60409692099752,0.0102219247226429,0.476347566979105,0.0532319150432016,0.00518293231593199,0.984249184520856,0.342846675852326,0.17792221439062,0.0222750275741194,0.932375467387885,0.0463517158103747,0.859783409652624,0.0174936150023984,0.946869434892178,"5"
"ACROYT_G002805","MEblack",0.842524037510747,-0.44810518292571,-0.41527250954403,2.19202364124354e-05,0.0712463200622215,0.0973894944731162,0.822458083800222,5.06634989366958e-05,0.549713503845177,0.0222570239657989,0.264627613451118,0.304690585875413,0.43190113513724,0.08341015704981,0.354495814771497,0.162676181171234,-0.26455126341064,0.304835355763692,0.259074678351072,0.315326195669318,0.1003733047122,0.701499364900095,0.0151670300185489,0.953928017802909,-0.11014751631282,0.673870512995081,-0.0555018157894813,0.832441515207331,-0.479679337279421,0.0513563569813363,-0.481194648997669,0.050519908191561,-0.417457997508072,0.0954625925868453,-0.344115079115941,0.176217612410269,-0.616018482741488,0.00846257800701252,-0.191617258977403,0.46127505439775,-0.295897572217353,0.248851301519496,0.429492762922948,0.0853388871911698,"5"
"ACROYT_G003176","MEblack",0.809451710413386,-0.200625167992928,-0.618163118271016,8.26954764161464e-05,0.440060051070692,0.00817350156656597,0.84617355848809,1.85917500009408e-05,0.763821100408901,0.000358585906395575,0.565242348775255,0.0180542389048449,0.550194339942132,0.0221164215970694,0.487233531045304,0.0472875830961275,-0.0595424932008137,0.820423097069286,0.172075656590638,0.50899810268864,0.0342173540691988,0.896271470031383,0.0411218775678322,0.875480876852621,-0.0874107481630669,0.738688076108662,-0.0891574726234014,0.733642760915013,-0.600864783666688,0.0107458191400762,-0.661152436014379,0.003853353139143,-0.576793955016737,0.0153526007316391,-0.456202119158621,0.0656812243070526,-0.842883030272521,2.15719191381492e-05,-0.325851611579697,0.20182556815832,-0.380392424599219,0.132008458659393,0.486767613435064,0.0475312767259839,"5"
"ACROYT_G003348","MEblack",0.659946907206977,-0.679353808704363,-0.0122084657458599,0.00394158340973758,0.00270455697961871,0.962908565033321,0.784731385708636,0.000191107258669537,0.378531690356604,0.134066933666559,0.246056901652539,0.341101677846937,0.19042833931449,0.464112786632477,-0.0497060193025062,0.849741109214085,-0.115814439504387,0.658027859111955,0.300854353504297,0.240633890046813,0.130521682877004,0.617562039690378,-0.00563366428793591,0.982879600974444,-0.000910927823432787,0.997231554555307,-0.0792957067589243,0.762257433518534,-0.22642942451967,0.382166247675814,-0.282280587971369,0.27231906005785,-0.336276880507831,0.186927070016579,-0.301914941579378,0.238898151614214,-0.428991932385985,0.0857439927589878,0.000348006873707971,0.998942353610472,-0.296489472754824,0.247860921855709,0.135286031285893,0.60466636855859,"5"
"ACROYT_G003353","MEblack",0.550264625767169,-0.578824147808854,0.001622544920534,0.0220959271653947,0.0149125948495893,0.995068863380604,0.659997947003347,0.00393781498984484,0.455425977865714,0.0662003110264609,0.160424180618671,0.538509515794852,0.0328996939285566,0.90024681574215,0.00187376670834123,0.994305376738313,-0.117542085509084,0.653224862163447,-0.0582505310780377,0.824261875452669,0.0707714571409208,0.787229518224539,-0.0596045105234058,0.820238922591603,0.451614362580112,0.0687935264410424,-0.362509771058387,0.152715936081109,-0.405413767909622,0.106428381480511,-0.220182234526076,0.395781838876634,-0.275084830949423,0.285249332588903,-0.320790063042238,0.209330552736565,-0.44920732874424,0.0704691551984337,-0.211433672592057,0.415282480597636,-0.47960279045753,0.0513988841044048,0.0625958428511386,0.811366195799405,"5"
"ACROYT_G004079","MEblack",0.607359646807447,-0.505026079901475,-0.125836173028036,0.00971388865584499,0.0386653751628129,0.630348198612605,0.674318895926106,0.00298983725235334,0.0953360021306271,0.715880205692428,-0.0878601712503069,0.737388970277436,-0.031861341383582,0.903381082751622,9.0106093610692e-06,0.999972615365738,-0.22097598467789,0.394037489918518,0.191823872006693,0.460782794744367,0.199233936162131,0.443303431504321,0.0798732441109332,0.760573222649085,0.456171443141851,0.0657016833935664,-0.0519429286986769,0.84305615172385,-0.356572553092999,0.160054061008591,-0.338852811518839,0.183361194689103,-0.135442910199766,0.604243591120233,-0.0413272314072621,0.874863636829788,-0.0916357984962151,0.726501950306925,-0.235092770654679,0.363717842065017,-0.403542216378947,0.108209277683783,0.13788504005707,0.597677632507118,"5"
"ACROYT_G004124","MEblack",0.726658668911678,-0.237741336383798,-0.499981198752475,0.000952865621341397,0.35817923220767,0.0409777638694162,0.642213985144505,0.00544006377404708,0.0753016887063151,0.773932020514239,0.216930311267888,0.402971747050376,0.485689541175363,0.0480987724607569,0.428389345356255,0.0862332471396297,0.125683840202788,0.630765589953051,0.188924408941891,0.467714821293783,0.0073768913345886,0.977583130451415,0.23106831628848,0.372224835817489,-0.197652059139088,0.447006074413812,0.3016665495347,0.239303953949308,-0.35910949627401,0.156889895215045,-0.673595229537075,0.00303278271124035,-0.523627258330735,0.0309867206037375,0.231971334067563,0.370306474098541,-0.1515736417613,0.561426718129307,-0.0439132098796034,0.867096808522794,0.100122948794358,0.70221188597447,0.173733070550608,0.504862845830478,"5"
"ACROYT_G004169","MEblack",0.730304335479657,-0.394130595714461,-0.354515557188839,0.000871746552774758,0.117485718283483,0.16265111839023,0.761146612036485,0.000386891333298617,0.489999500210177,0.0458601759703913,0.467931126187495,0.0581975049290294,0.503012704063699,0.0395760199524714,0.474423445842217,0.054338119403995,0.100187846975873,0.702027161098587,-0.181816458990391,0.48492487941579,-0.0321388158423026,0.902543392196742,0.26223045990717,0.309255407248196,-0.0259292582122468,0.921311643101387,0.030332573126263,0.907998113405474,-0.492031328488227,0.0448324982579962,-0.683549056900244,0.00248417995287948,-0.715916540016876,0.00122893888098116,-0.0681649675051981,0.794905808292214,-0.529327265424712,0.028886016609394,-0.0581319854805703,0.824614297421567,-0.054745866065598,0.834693962788626,0.0250875791820449,0.923858835292937,"5"
"ACROYT_G004573","MEblack",0.675779640486213,-0.125178608324699,-0.556426520474785,0.00290465917905374,0.63215067841083,0.0203558243944686,0.77614709135792,0.000249412127196348,0.348754876229793,0.170075229794486,0.0721434012164854,0.783196431301872,0.372679081340953,0.140686117857135,0.30960411463104,0.226551197456678,-0.251501405347415,0.330178341533746,0.321106485573543,0.208856150705741,0.39532221971704,0.116281355547185,0.330720797020828,0.194773691664442,-0.185960727677773,0.474853476682914,-0.0401127023439099,0.878515174207821,-0.586742621128302,0.0132904550974594,-0.685730171603304,0.00237553949650594,-0.319526272703077,0.211232278781121,-0.206546509009189,0.426393069024578,-0.453984771559535,0.0671722092318688,-0.294597203766617,0.251035793500676,-0.262545092276278,0.308653967762298,0.397510918125838,0.114091930521589,"5"
"ACROYT_G004649","MEblack",0.756413316380335,-0.432815435715766,-0.343739990377321,0.00044154901098048,0.0826862864503579,0.176720552942473,0.875815307560536,4.08516993501375e-06,0.418601234513308,0.0944655820260902,0.362214709235296,0.153075105113815,0.434120743384358,0.0816607595013734,0.169382336606015,0.515751668203358,0.10173961314899,0.697614962857471,0.249666976851904,0.333835855129474,0.198503551013517,0.445011063113496,0.179454278081397,0.490711427979376,-0.331248250789884,0.194019647446691,-0.108382855563509,0.678830815127858,-0.484740087453025,0.0486027681019777,-0.618827217441637,0.00808560718304021,-0.502078869877159,0.0400038769926032,-0.123273586876514,0.637383654354417,-0.507652070837403,0.03750168647852,-0.113858641544973,0.663480430555609,-0.162962451494346,0.532015648945717,0.17009056930679,0.513971731156993,"5"
