moduleColor,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GOSLIM_ID,GOSLIM_Name
MEblue,GO:0071375,cellular response to peptide hormone stimulus,8/121,41/2350,0.195121951219512,3.78955855674259,4.19753768139998,8.9259422814894e-4,0.0244662366638775,0.0211042521959103,ACROYT_G001336/ACROYT_G004471/ACROYT_G012773/ACROYT_G013062/ACROYT_G020457/ACROYT_G020555/ACROYT_G029061/ACROYT_G036390,8,NA,NA
MEblue,GO:1901653,cellular response to peptide,8/121,41/2350,0.195121951219512,3.78955855674259,4.19753768139998,8.9259422814894e-4,0.0244662366638775,0.0211042521959103,ACROYT_G001336/ACROYT_G004471/ACROYT_G012773/ACROYT_G013062/ACROYT_G020457/ACROYT_G020555/ACROYT_G029061/ACROYT_G036390,8,NA,NA
MEblue,GO:0009892,negative regulation of metabolic process,27/121,286/2350,0.0944055944055944,1.83349708143097,3.50357495235335,9.1776171027788e-4,0.0248376523616976,0.0214246304651145,ACROYT_G000467/ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004471/ACROYT_G004486/ACROYT_G005185/ACROYT_G006438/ACROYT_G010556/ACROYT_G013062/ACROYT_G017711/ACROYT_G019632/ACROYT_G019635/ACROYT_G020457/ACROYT_G021828/ACROYT_G021858/ACROYT_G021859/ACROYT_G021860/ACROYT_G022776/ACROYT_G029061/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G039781/ACROYT_G044428/ACROYT_G044601,27,NA,NA
MEblue,GO:0045892,negative regulation of DNA-templated transcription,15/121,120/2350,0.125,2.42768595041322,3.73981428826659,9.4229847824618e-4,0.0250135894547538,0.0215763914749292,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004486/ACROYT_G013062/ACROYT_G020457/ACROYT_G021828/ACROYT_G021859/ACROYT_G021860/ACROYT_G029061/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G044428,15,GO:0006355,regulation of DNA-templated transcription
MEblue,GO:0005524,ATP binding,12/121,84/2350,0.142857142857143,2.77449822904368,3.85801951257862,9.5869743161222e-4,0.0250135894547538,0.0215763914749292,ACROYT_G001485/ACROYT_G004471/ACROYT_G006438/ACROYT_G010799/ACROYT_G018812/ACROYT_G020555/ACROYT_G021441/ACROYT_G021449/ACROYT_G021828/ACROYT_G029061/ACROYT_G039381/ACROYT_G039997,12,NA,NA
MEblue,GO:0051247,positive regulation of protein metabolic process,22/121,214/2350,0.102803738317757,1.99660152931181,3.56210708399061,9.5936124195033e-4,0.0250135894547538,0.0215763914749292,ACROYT_G000467/ACROYT_G001485/ACROYT_G010556/ACROYT_G013062/ACROYT_G018812/ACROYT_G020457/ACROYT_G021441/ACROYT_G021594/ACROYT_G021858/ACROYT_G022486/ACROYT_G022776/ACROYT_G025724/ACROYT_G025980/ACROYT_G026620/ACROYT_G032171/ACROYT_G032248/ACROYT_G034760/ACROYT_G036390/ACROYT_G037441/ACROYT_G039381/ACROYT_G044428/ACROYT_G044601,22,NA,NA
MEblue,GO:0009790,embryo development,24/121,243/2350,0.0987654320987654,1.91817161514131,3.52106377220745,9.8098864139888e-4,0.0252693218712145,0.0217969828754704,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004486/ACROYT_G006013/ACROYT_G006438/ACROYT_G013062/ACROYT_G016868/ACROYT_G017711/ACROYT_G018812/ACROYT_G019799/ACROYT_G020457/ACROYT_G021828/ACROYT_G022486/ACROYT_G022776/ACROYT_G025724/ACROYT_G026620/ACROYT_G036390/ACROYT_G039171/ACROYT_G039193/ACROYT_G039938/ACROYT_G040108/ACROYT_G042276/ACROYT_G044428,24,GO:0048856,anatomical structure development
MEblue,GO:1901652,response to peptide,11/121,73/2350,0.150684931506849,2.92652552926526,3.89523660226469,9.9873399500862e-4,0.0253810774312019,0.0218933817436196,ACROYT_G001336/ACROYT_G004471/ACROYT_G005185/ACROYT_G010556/ACROYT_G012773/ACROYT_G013062/ACROYT_G019635/ACROYT_G020457/ACROYT_G020555/ACROYT_G029061/ACROYT_G036390,11,NA,NA
MEblue,GO:0019538,protein metabolic process,37/121,444/2350,0.0833333333333333,1.61845730027548,3.37069080654083,0.00100906996335461,0.0253810774312019,0.0218933817436196,ACROYT_G001336/ACROYT_G001485/ACROYT_G002698/ACROYT_G004471/ACROYT_G005185/ACROYT_G006438/ACROYT_G010556/ACROYT_G013062/ACROYT_G016868/ACROYT_G016960/ACROYT_G018039/ACROYT_G018812/ACROYT_G019567/ACROYT_G019635/ACROYT_G019737/ACROYT_G020457/ACROYT_G020555/ACROYT_G021441/ACROYT_G021449/ACROYT_G022486/ACROYT_G022676/ACROYT_G022776/ACROYT_G023961/ACROYT_G025527/ACROYT_G026642/ACROYT_G029061/ACROYT_G032171/ACROYT_G036390/ACROYT_G036611/ACROYT_G037441/ACROYT_G037692/ACROYT_G038405/ACROYT_G039171/ACROYT_G039381/ACROYT_G039997/ACROYT_G042774/ACROYT_G044428,37,NA,NA
MEblue,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",8/121,42/2350,0.19047619047619,3.69933097205824,4.11189522670668,0.0010557397443591,0.0262461810865087,0.022639608716244,ACROYT_G001336/ACROYT_G006013/ACROYT_G027661/ACROYT_G032910/ACROYT_G036390/ACROYT_G037591/ACROYT_G039193/ACROYT_G044428,8,GO:0140110,transcription regulator activity
MEblue,GO:0030808,regulation of nucleotide biosynthetic process,4/121,10/2350,0.4,7.76859504132231,4.9965445274708,0.00110341265143323,0.0264072138532779,0.0227785134513037,ACROYT_G004471/ACROYT_G010556/ACROYT_G025527/ACROYT_G036390,4,NA,NA
MEblue,GO:0061077,chaperone-mediated protein folding,4/121,10/2350,0.4,7.76859504132231,4.9965445274708,0.00110341265143323,0.0264072138532779,0.0227785134513037,ACROYT_G001485/ACROYT_G021859/ACROYT_G021860/ACROYT_G039381,4,NA,NA
MEblue,GO:1900371,regulation of purine nucleotide biosynthetic process,4/121,10/2350,0.4,7.76859504132231,4.9965445274708,0.00110341265143323,0.0264072138532779,0.0227785134513037,ACROYT_G004471/ACROYT_G010556/ACROYT_G025527/ACROYT_G036390,4,NA,NA
MEblue,GO:0051254,positive regulation of RNA metabolic process,18/121,161/2350,0.111801242236025,2.17134644012114,3.58719163801413,0.0011116226598667,0.0264072138532779,0.0227785134513037,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G006013/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,18,NA,NA
MEblue,GO:0003690,double-stranded DNA binding,10/121,63/2350,0.158730158730159,3.08277581004854,3.9035421819575302,0.0011287451808833,0.0265193098541593,0.0228752059792659,ACROYT_G000539/ACROYT_G001336/ACROYT_G004486/ACROYT_G013062/ACROYT_G027661/ACROYT_G032910/ACROYT_G036390/ACROYT_G037591/ACROYT_G039193/ACROYT_G044428,10,GO:0003677,DNA binding
MEblue,GO:0023052,signaling,35/121,416/2350,0.0841346153846154,1.63401938970121,3.32047434814959,0.00122246734114309,0.0277458619090361,0.0239332135614353,ACROYT_G001336/ACROYT_G001485/ACROYT_G002698/ACROYT_G004471/ACROYT_G005185/ACROYT_G006013/ACROYT_G010556/ACROYT_G012773/ACROYT_G013062/ACROYT_G016868/ACROYT_G017838/ACROYT_G018812/ACROYT_G019635/ACROYT_G019799/ACROYT_G020457/ACROYT_G020555/ACROYT_G021441/ACROYT_G021858/ACROYT_G022776/ACROYT_G026620/ACROYT_G027735/ACROYT_G028382/ACROYT_G029061/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039171/ACROYT_G039781/ACROYT_G039938/ACROYT_G039997/ACROYT_G044428/ACROYT_G044601,35,GO:0023052,signaling
MEblue,GO:0048592,eye morphogenesis,9/121,53/2350,0.169811320754717,3.29798846093872,3.94170792123667,0.00122351911519155,0.0277458619090361,0.0239332135614353,ACROYT_G001336/ACROYT_G004486/ACROYT_G011982/ACROYT_G012773/ACROYT_G016868/ACROYT_G020457/ACROYT_G021828/ACROYT_G039171/ACROYT_G044428,9,NA,NA
MEblue,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,19/121,176/2350,0.107954545454545,2.09663786626597,3.52345688083084,0.0012335373766372,0.0277458619090361,0.0239332135614353,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004471/ACROYT_G006013/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,19,NA,NA
MEblue,GO:0051082,unfolded protein binding,5/121,17/2350,0.294117647058824,5.71220223626641,4.54224098496687,0.00125134069534359,0.0277458619090361,0.0239332135614353,ACROYT_G001485/ACROYT_G021859/ACROYT_G021860/ACROYT_G039381/ACROYT_G040108,5,NA,NA
MEblue,GO:0007444,imaginal disc development,11/121,75/2350,0.146666666666667,2.84848484848485,3.78996313531553,0.00125881599867937,0.0277458619090361,0.0239332135614353,ACROYT_G000539/ACROYT_G001336/ACROYT_G005185/ACROYT_G010556/ACROYT_G017838/ACROYT_G019632/ACROYT_G019799/ACROYT_G021449/ACROYT_G022486/ACROYT_G042276/ACROYT_G044428,11,GO:0048856,anatomical structure development
MEblue,GO:0008134,transcription factor binding,11/121,75/2350,0.146666666666667,2.84848484848485,3.78996313531553,0.00125881599867937,0.0277458619090361,0.0239332135614353,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G017839/ACROYT_G021859/ACROYT_G021860/ACROYT_G029061/ACROYT_G032171/ACROYT_G036390/ACROYT_G039381/ACROYT_G044428,11,NA,NA
MEblue,GO:0004674,protein serine/threonine kinase activity,6/121,25/2350,0.24,4.66115702479339,4.28702524489187,0.00130035130118127,0.028368888591077,0.0244706281382339,ACROYT_G018812/ACROYT_G020555/ACROYT_G021441/ACROYT_G021449/ACROYT_G029061/ACROYT_G039997,6,GO:0003824;GO:0016740;GO:0140096,"catalytic activity;transferase activity;catalytic activity, acting on a protein"
MEblue,GO:1902680,positive regulation of RNA biosynthetic process,17/121,150/2350,0.113333333333333,2.20110192837466,3.54154947043445,0.00132477008517094,0.0286096812332877,0.024678332687076,ACROYT_G000539/ACROYT_G001336/ACROYT_G006013/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,17,NA,NA
MEblue,GO:0010557,positive regulation of macromolecule biosynthetic process,19/121,178/2350,0.106741573033708,2.07308013743152,3.46889701151056,0.00141622858152992,0.0302180398774469,0.0260656815840121,ACROYT_G000467/ACROYT_G000539/ACROYT_G001336/ACROYT_G004471/ACROYT_G006013/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,19,NA,NA
MEblue,GO:0009891,positive regulation of biosynthetic process,20/121,192/2350,0.104166666666667,2.02307162534435,3.44595889963744,0.0014275126415445,0.0302180398774469,0.0260656815840121,ACROYT_G000467/ACROYT_G000539/ACROYT_G001336/ACROYT_G004471/ACROYT_G006013/ACROYT_G009447/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,20,NA,NA
