"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ACROYT_G041044",116.839744490144,3.32610513376612,0.798886988239642,4.16342384183179,3.13510626718151e-05,0.00986411484064425,"Up"
"ACROYT_G029652",31.7959830230959,-2.91878855734978,0.717842320128531,-4.06605806805478,4.78150266664916e-05,0.0140184964544941,"Down"
"ACROYT_G004649",193.451912044179,-1.25519082458819,0.317802218091221,-3.94959743241285,7.82827412314599e-05,0.0214861140826773,"Down"
"ACROYT_G017161",53.4800253625794,2.81193172561248,0.711745126898831,3.95075655503881,7.79045370380396e-05,0.0214861140826773,"Up"
"ACROYT_G027816",67.876548935888,-1.16970948067694,0.296084982942884,-3.9505869870563,7.79597564272672e-05,0.0214861140826773,"Down"
"ACROYT_G001097",294.8422435953,-4.40018996660363,1.12029935559633,-3.92769124129456,8.5765217424601e-05,0.0230494021828615,"Down"
"ACROYT_G001549",86.8403118809442,3.12428198917548,0.797494078996862,3.91762405697782,8.94260266424595e-05,0.0235427702793414,"Up"
"ACROYT_G003536",184.381221208069,2.01273606062805,0.515909530844725,3.90133529290009,9.56635407124714e-05,0.0243824232525659,"Up"
"ACROYT_G009718",127.956199140702,-1.0514871145145,0.271210899749385,-3.87700905636953,0.000105748423461314,0.0261973385256378,"Down"
"ACROYT_G016799",88.1756598602289,-1.18652000950181,0.306379881666862,-3.87270862253273,0.000107632476113086,0.0261973385256378,"Down"
"ACROYT_G019553",110.121127318441,-1.09023877807365,0.282802076787363,-3.85513002754006,0.000115668134705592,0.0276318321796691,"Down"
"ACROYT_G017160",44.2408479823549,2.96840399827313,0.772712672084769,3.84153658340352,0.00012226650873651,0.0276708414508943,"Up"
"ACROYT_G018038",46.6983815002845,-1.93449265899395,0.503297163414552,-3.84363910551303,0.000121223235180941,0.0276708414508943,"Down"
"ACROYT_G007640",37.6885909483052,-2.85611945452958,0.746954282523109,-3.82368710020913,0.000131470741207921,0.0288311229977339,"Down"
"ACROYT_G044430",44.1233793820589,-2.15910979050255,0.565388457011902,-3.81880769535608,0.000134098246501088,0.0288311229977339,"Down"
"ACROYT_G024293",124.756721450858,1.16077164809679,0.308246166745835,3.76572938554627,0.000166063581372449,0.0340034952334063,"Up"
"ACROYT_G040924",44.3924586475286,4.35308793711397,1.15488644331956,3.76927789073498,0.00016372052678287,0.0340034952334063,"Up"
"ACROYT_G018076",396.872080807919,1.7789172874203,0.473961900602178,3.75329174172049,0.000174527535097224,0.0351782062930341,"Up"
"ACROYT_G006590",245.702295372661,-1.2289708846933,0.328327521325933,-3.74312479115417,0.000181745909978965,0.0360695729035177,"Down"
"ACROYT_G010956",120.285055535791,-1.06735472066316,0.292240242459145,-3.65231944677289,0.000259882313739074,0.0485866934381746,"Down"
"ACROYT_G039401",294.4449088011,1.26836923592206,0.347740543033182,3.64745860479382,0.000264846963613425,0.0487160926986555,"Up"
"ACROYT_G017922",152.77486118287,-1.45203878677277,0.398892242594541,-3.6401780524188,0.000272449574842893,0.0488138821593516,"Down"
"ACROYT_G021035",92.9747811718892,3.12957656446484,0.861766476878464,3.63158308942459,0.000281687932332166,0.0497777305080129,"Up"
