Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717477140,3.52,21.11,7.6,1107,96,236
1717477740,3.52,21.118,8.5,1100,96,248
1717478340,3.52,21.118,9.3,1102,96,256
1717478940,3.52,21.11,10.6,1008,56,380
1717479540,3.52,21.093,11.4,1104,96,243
1717480140,3.52,21.118,12.3,1100,96,259
1717480740,3.52,21.16,13.4,1136,84,178
1717481340,3.52,21.144,14.8,1100,96,252
1717481940,3.52,21.185,16.3,1064,72,340
1717482540,3.52,21.236,17.1,1063,78,339
1717483140,3.52,21.227,18.5,1062,76,344
1717483740,3.52,21.211,19.1,1063,78,344
1717484340,3.52,21.202,20,1091,96,288
1717484940,3.52,21.169,21.4,1107,103,240
1717485540,3.52,21.135,22.2,1139,78,183
1717486140,3.52,21.135,22.7,1080,88,306
1717486740,3.52,21.093,23.7,1103,96,256
1717487340,3.52,21.06,24.1,1123,102,198
1717487940,3.52,21.043,24.5,1100,99,262
1717488540,3.52,21.009,25.2,1136,80,184
1717489140,3.52,20.993,25.3,1107,103,236
1717489740,3.52,20.976,26.1,1137,84,184
1717490340,3.52,20.967,26.9,1009,64,384
1717490940,3.52,20.951,28.2,1139,80,184
1717491540,3.52,20.925,29.3,1136,88,176
1717492140,3.52,20.934,28.6,1004,56,376
1717492740,3.52,20.967,30,1128,102,184
1717493340,3.52,20.959,31,1104,102,240
1717493940,3.52,21.001,31.3,1123,100,196
1717494540,3.52,21.001,32.6,1142,75,199
1717495140,3.52,20.993,33.3,1128,102,184
1717495740,3.52,21.018,33.4,1100,99,252
1717496340,3.52,20.993,31.4,1134,96,180
1717496940,3.52,20.976,29.5,1129,96,184
1717497540,3.52,20.959,28,1136,88,184
1717498140,3.52,20.934,27.6,1011,56,377
1717498740,3.52,20.942,26.4,1008,56,380
1717499340,3.52,20.934,25.8,1011,56,384
1717499940,3.52,20.917,24.4,1014,56,384
1717500540,3.52,20.942,23.8,1008,56,384
1717501140,3.52,20.951,22.4,1008,56,384
1717501740,3.52,20.917,21.7,1008,56,380
1717502340,3.52,20.909,20.7,1011,56,376
1717502940,3.52,20.925,19.7,1006,60,380
1717503540,3.52,20.917,18.2,1014,60,384
1717504140,3.52,20.909,16.7,999,57,376
1717504740,3.52,20.917,14.9,1008,62,384
1717505340,3.52,20.942,14.3,1007,60,380
1717505940,3.52,21.018,13.5,1136,84,180
1717506540,3.52,20.993,12.8,1004,54,380
1717507140,3.52,20.993,11.4,1112,104,224
1717507740,3.52,20.993,10.3,1140,78,184
1717508340,3.52,20.951,10.7,1131,96,184
1717508940,3.52,20.951,10.5,1008,62,384
1717509540,3.52,20.942,9.9,1016,60,384
1717510140,3.52,20.925,9.7,1004,60,376
1717510740,3.52,20.934,9.4,1137,80,176
1717511340,3.52,20.925,9.4,1136,84,176
1717511940,3.52,21.001,8.8,1096,102,256
1717512540,3.52,21.043,7.8,1140,80,168
1717513140,3.52,21.11,7.2,1104,100,246
1717513740,3.52,21.169,6.5,1059,76,348
1717514340,3.52,21.211,5.8,1127,99,176
1717514940,3.52,21.261,5,1048,76,364
1717515540,3.52,21.278,4.4,1043,73,368
1717516140,3.52,21.311,3.3,1044,72,368
1717516740,3.52,21.353,2.7,1031,70,376
1717517340,3.52,21.387,2.1,1049,76,360
1717517940,3.52,21.387,1.3,1008,60,384
1717518540,3.52,21.429,0.9,1004,62,376
